Марка,Модель,Год выпуска,Цена,Двигатель,Мощность,Коробка передач,Пробег,Владельцы,Поколение,Комплектация,URL,Возраст,Объем двигателя,Марка_код,Модель_код,Тип кузова_джип/suv 5 дв.,Тип кузова_купе,Тип кузова_лифтбек,Тип кузова_минивэн,Тип кузова_не указано,Тип кузова_открытый,Тип кузова_седан,Тип кузова_универсал,Тип кузова_хэтчбек 3 дв.,Тип кузова_хэтчбек 5 дв.,Привод_задний,Привод_передний,Тип КПП_вариатор,Тип КПП_робот,Тип топлива_гибрид,Тип топлива_дизель,Тип топлива_не указано,Руль_правый,Цвет_белый,Цвет_бордовый,Цвет_голубой,Цвет_желтый,Цвет_зеленый,Цвет_золотистый,Цвет_коричневый,Цвет_красный,Цвет_оранжевый,Цвет_розовый,Цвет_серебристый,Цвет_серый,Цвет_синий,Цвет_фиолетовый,Цвет_черный,Поколение_номер,Мощность/Объем,Новый,год,месяц,день,день_недели,квартал,день_года,викенд,сезон,дней_с_публикации
Suzuki,Swift,2008,499000,"бензин, 1.5 л",102,АКПП,209000,4,"3 поколение, рестайлинг",156,https://auto.drom.ru/spb/suzuki/swift/182271963.html?from=recommend,17,1.5,75,446,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,3,68.0,0,2025,7,7,0,3,188,0,3,3
Mercedes-Benz,Vito,2018,2830000,"дизель, 2.1 л",163,АКПП,130742,3,3 поколение,1073,https://auto.drom.ru/spb/mercedes-benz/vito/447374699.html?from=recommend,7,2.1,52,496,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,3,77.61904761904762,0,2025,7,8,1,3,189,0,3,2
Volkswagen,Touareg,2019,5200000,"дизель, 3.0 л",249,АКПП,142000,1,3 поколение,792,https://auto.drom.ru/spb/volkswagen/touareg/778270219.html?from=recommend,6,3.0,79,472,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,3,83.0,0,2025,7,3,3,3,184,0,3,7
Volvo,S60,2014,1199000,"бензин, 2.0 л",180,АКПП,246826,1,"2 поколение, рестайлинг",1073,https://auto.drom.ru/spb/volvo/s60/782591785.html?from=recommend,11,2.0,80,408,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,2,90.0,0,2025,7,1,1,3,182,0,3,9
Ford,Fiesta,2018,735000,"бензин, 1.6 л",105,робот,111136,1,"6 поколение, рестайлинг",327,https://auto.drom.ru/spb/ford/fiesta/212509393.html?from=recommend,7,1.6,25,194,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,6,65.625,0,2025,6,12,3,2,163,0,3,28
Land,Rover Range Rover,2014,3444000,"дизель, 4.4 л",339,АКПП,170892,4,4 поколение,1073,https://auto.drom.ru/spb/land_rover/range_rover/689394151.html?from=recommend,11,4.4,44,400,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,4,77.04545454545453,0,2025,7,2,2,3,183,0,3,8
Haval,F7x,2020,1980000,"бензин, 2.0 л",190,робот,43992,2,1 поколение,426,https://auto.drom.ru/spb/haval/f7x/522255015.html?from=recommend,5,2.0,32,188,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,95.0,0,2025,6,13,4,2,164,0,3,27
Ford,Kuga,2018,1250000,"бензин, 1.5 л",150,АКПП,188000,1,"2 поколение, рестайлинг",138,https://auto.drom.ru/spb/ford/kuga/921959942.html?from=recommend,7,1.5,25,271,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2,100.0,0,2025,6,11,2,2,162,0,3,29
Porsche,Cayenne,2011,2500000,"бензин, 4.8 л",400,АКПП,220000,-1,2 поколение,885,https://auto.drom.ru/spb/porsche/cayenne/411650609.html?from=recommend,14,4.8,62,136,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,2,83.33333333333334,0,2025,7,6,6,3,187,1,3,4
Infiniti,QX60,2014,1870000,"бензин, 3.5 л",262,вариатор,148000,4,1 поколение,835,https://auto.drom.ru/spb/infiniti/qx60/871883141.html?from=recommend,11,3.5,36,380,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,1,74.85714285714286,0,2025,6,23,0,2,174,0,3,17
