Марка,Модель,Год выпуска,Цена в г.Владивосток,Цена на аукционе,Двигатель,Мощность,Пробег,URL,Возраст,Марка_код,Модель_код,Коробка передач_механика,Коробка передач_не указано,Цвет_желтый,Цвет_зеленый,Цвет_золотой,Цвет_коричневый,Цвет_не указано,Цвет_оранжевый,Цвет_розовый,Цвет_серебристый,Цвет_серый,Цвет_синий,Цвет_фиолетовый,Цвет_черный,Новый,год,месяц,день,день_недели,квартал,день_года,викенд,сезон,дней_с_публикации
Audi,"Q2  автомат, 2022, 2000",2022,1816824,1256430,1400,,2000,https://autosender.ru/avto-iz-kitaya/audi/q2/19894968,3,2,4875,False,False,False,True,False,False,False,False,False,False,False,False,False,False,0,2025,3,7,4,1,66,0,2,125
Audi,"Q4  2024, 1990",2024,1816824,1638350,2000,,1990,https://autosender.ru/avto-iz-kitaya/audi/q4/19909956,1,2,4920,False,True,False,False,False,False,False,False,False,False,False,True,False,False,0,2025,3,7,4,1,66,0,2,125
BMW,"5er  автомат, 2022, 6000",2022,1816824,3124800,2000,,6000,https://autosender.ru/avto-iz-kitaya/bmw/5er/19908527,3,4,520,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0,2025,3,7,4,1,66,0,2,125
Audi,"A3  автомат, 2020, 4500",2020,1816824,865830,1400,,4500,https://autosender.ru/avto-iz-kitaya/audi/a3/19907307,5,2,702,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,2025,3,7,4,1,66,0,2,125
Audi,"Q2  автомат, 2022, 400",2022,1816824,1234730,1400,,400,https://autosender.ru/avto-iz-kitaya/audi/q2/19905999,3,2,4878,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,2025,3,7,4,1,66,0,2,125
Chery,"Zhijie  автомат, 2024, 200",2024,1816824,2658250,1500,,200,https://autosender.ru/avto-iz-kitaya/chery/zhijie/19905142,1,11,6909,False,False,False,False,False,False,False,False,False,False,True,False,False,False,1,2025,3,7,4,1,66,0,2,125
Chery,"Zhijie  2024, 600",2024,1816824,2669100,2000,,600,https://autosender.ru/avto-iz-kitaya/chery/zhijie/19902080,1,11,6907,False,True,False,False,False,False,False,False,False,False,False,False,False,False,1,2025,3,7,4,1,66,0,2,125
Mercedes-Benz,"G-klasse AMG  автомат, 2019, 7300",2019,1816824,20604150,4000,,7300,https://autosender.ru/avto-iz-kitaya/mercedes-benz/g-klasse-amg/19899195,6,49,3276,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0,2025,3,7,4,1,66,0,2,125
Volkswagen,"Teramont  автомат, 2019, 9000",2019,1816824,1950830,2500,,9000,https://autosender.ru/avto-iz-kitaya/volkswagen/teramont/18015996,6,66,5951,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0,2025,3,7,4,1,66,0,2,125
Chery,"Arrizo 8  механика, 2015, 14000",2015,1816824,236530,1900,,14000,https://autosender.ru/avto-iz-kitaya/chery/arrizo-8/19905981,10,11,1307,True,False,False,False,False,False,False,False,False,True,False,False,False,False,0,2025,3,7,4,1,66,0,2,125
Chery,"Arrizo 8  механика, 2015, 12300",2015,1816824,203980,1900,,12300,https://autosender.ru/avto-iz-kitaya/chery/arrizo-8/19907749,10,11,1306,True,False,False,False,False,False,False,False,False,True,False,False,False,False,0,2025,3,7,4,1,66,0,2,125
Changan,"UNI-V  автомат, 2022, 4000",2022,1816824,629300,1500,,4000,https://autosender.ru/avto-iz-kitaya/changan/uni-v/19906922,3,9,6209,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,2025,3,7,4,1,66,0,2,125
Volkswagen,"Beetle  автомат, 2015, 9500",2015,1816824,540330,1200,,9500,https://autosender.ru/avto-iz-kitaya/volkswagen/beetle/19906795,10,66,1431,False,False,False,False,False,False,False,False,True,False,False,False,False,False,0,2025,3,7,4,1,66,0,2,125
Nissan,"Sylphy Zero Emission  2019, 8600",2019,1816824,420980,2000,,8600,https://autosender.ru/avto-iz-kitaya/nissan/sylphy-zero-emission/19906387,6,51,5779,False,True,False,False,False,False,False,False,False,False,False,False,False,False,0,2025,3,7,4,1,66,0,2,125
Volkswagen,"e Golf  автомат, 2021, 5600",2021,1816824,1247750,1400,,5600,https://autosender.ru/avto-iz-kitaya/volkswagen/e-golf/19905958,4,66,6955,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,2025,3,7,4,1,66,0,2,125
Changan,"Eado  автомат, 2020, 4800",2020,1816824,423150,1400,,4800,https://autosender.ru/avto-iz-kitaya/changan/eado/19905288,5,9,2725,False,False,False,False,False,False,False,False,False,True,False,False,False,False,0,2025,3,7,4,1,66,0,2,125
Changan,"UNI-V  автомат, 2022, 2900",2022,1816824,645575,1500,,2900,https://autosender.ru/avto-iz-kitaya/changan/uni-v/19904368,3,9,6201,False,False,False,False,False,False,False,False,False,True,False,False,False,False,0,2025,3,7,4,1,66,0,2,125
Volkswagen,"Jetta  автомат, 2021, 6760",2021,1816824,789880,1400,,6760,https://autosender.ru/avto-iz-kitaya/volkswagen/jetta/19904176,4,66,3797,False,False,False,False,False,False,False,False,False,False,True,False,False,False,0,2025,3,7,4,1,66,0,2,125
Changan,"UNI-V  автомат, 2023, 2900",2023,1816824,713930,1500,,2900,https://autosender.ru/avto-iz-kitaya/changan/uni-v/19902942,2,9,6223,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0,2025,3,7,4,1,66,0,2,125
Volkswagen,"Santana  механика, 2018, 6000",2018,1816824,323330,1500,,6000,https://autosender.ru/avto-iz-kitaya/volkswagen/santana/19902531,7,66,5624,True,False,False,False,False,False,False,False,False,False,False,False,False,False,0,2025,3,7,4,1,66,0,2,125
Chery,"Zhijie  2025, 850",2025,1816824,2276330,2000,,850,https://autosender.ru/avto-iz-kitaya/chery/zhijie/19897032,0,11,6908,False,True,False,False,False,False,True,False,False,False,False,False,False,False,1,2025,3,7,4,1,66,0,2,125
BMW,"X4 M  автомат, 2020, 5440",2020,1816824,2167830,2000,,5440,https://autosender.ru/avto-iz-kitaya/bmw/x4-m/19896201,5,4,6512,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0,2025,3,7,4,1,66,0,2,125
Nissan,"Sylphy Zero Emission  автомат, 2021, 4500",2021,1816824,366730,1600,,4500,https://autosender.ru/avto-iz-kitaya/nissan/sylphy-zero-emission/19895151,4,51,5827,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,2025,3,7,4,1,66,0,2,125
Mercedes-Benz,"A-klasse AMG  автомат, 2021, 5400",2021,1816824,1397480,1300,,5400,https://autosender.ru/avto-iz-kitaya/mercedes-benz/a-klasse-amg/19908324,4,49,662,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,2025,3,7,4,1,66,0,2,125
Volkswagen,"Jetta  автомат, 2018, 9000",2018,1816824,453530,1400,,9000,https://autosender.ru/avto-iz-kitaya/volkswagen/jetta/19908059,7,66,3783,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,2025,3,7,4,1,66,0,2,125
Mercedes-Benz,"AMG GLC  автомат, 2019, 7800",2019,1816824,1822800,2000,,7800,https://autosender.ru/avto-iz-kitaya/mercedes-benz/amg-glc/19905850,6,49,1012,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,2025,3,7,4,1,66,0,2,125
Mercedes-Benz,"C-klasse AMG  автомат, 2021, 5600",2021,2861419,1994230,1500,,5600,https://autosender.ru/avto-iz-kitaya/mercedes-benz/c-klasse-amg/19905534,4,49,1764,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,2025,3,7,4,1,66,0,2,125
